en;90
es;41
it;36
fr;36
de;36
ru;34
iw;31
pt;30
nl;29
pl;28
ja;28
ko;27
ar;25
sv;25
cs;24
da;24
hu;24
sk;24
ca;23
nb;23
tr;23
vi;23
ro;23
uk;23
hr;23
fi;23
el;22
in;22
th;22
bg;22
sl;22
tl;21
lt;21
hi;21
he;21
af;20
lv;20
fa;20
sr;20
ms;20
sw;19
am;19
et;19
zu;19
be;19
zh;9
id;2
eu;1
gl;1
no;1
rm;1
ka;1
